Run_ID,Strain,Strategy,mu_fit,qp_fit,R2_biomass,R2_protein
KP-B1-Run-02,KP-B1,Pulsed,0.033490383968958745,45.50470656300771,0.23578536780359582,0.7447264580549159
KP-B2_run1,KP-B2,Continuous,0.03162896028998598,58.12039503576124,0.06680700663812289,0.7639062751769192
KPB2-run3,KP-B2,Ramped,0.03168203212632187,67.10412911323937,0.12120179837513367,0.7085416084940841
KP_B1_run1,KP-B1,Continuous,0.033167787154041825,44.36267739323407,0.13100879271937915,0.8388937129670231
KP_B2_run2,KP-B2,Pulsed,0.03128278219017311,61.22938616757919,0.028586696276843515,0.7066900109408494
run3_KPB1,KP-B1,Continuous,0.032938054311446335,51.12958427618392,0.07146697939402136,0.7431500200220651
